word,translation,tag
abide,"vi. 停留, 遵守, 居留, 继续下去\nvt. 忍受, 经受, 屈从于",cet6 ky toefl gre
ability,"n. 能力, 才干\n[经] 能力, 才能",zk gk cet4 ky toefl ielts
able,"a. 能干的, 能够的",zk gk
aboard,"adv. 在船上, 在火车上, 在飞机上\nprep. 在...之上",gk cet4 ky toefl
above,"prep. 在上方, 超出\nadv. 在上面\na. 上述的, 上面的",zk gk
absent,"a. 缺席的, 不在的, 缺乏的, 漫不经心的\nvt. 使缺席",zk gk cet4 cet6 ky toefl
absorb,"vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担\n[医] 吸收",gk cet4 cet6 ky toefl ielts gre
accent,"n. 重音, 口音, 特点, 注重点\nvt. 重读, 加重音号于, 强调",zk gk cet4 ky
accept,"vt. 接受, 承认, 同意, 相信, 赞成, 承担, 承兑, 采纳, 接纳, 容忍\nvi. 同意",zk gk cet4 ky
acceptance,"n. 接受, 接纳, 承认, 同意, 赞同, 容忍, 相信\n[经] 承兑, 认付, (工程)验收",cet4 cet6 ky
access,"n. 通路, 入口, 接近, 进入, 使用权, 发作\nvt. 访问, 存取, 接近, 使用\n[计] 访问, 存取",gk cet4 cet6 ky toefl ielts gre
accessible,"a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的",gk cet6 toefl ielts gre
accessory,"n. 附件, 零件, 附加物, 从犯, 同谋\na. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的\n[计] 附件",cet4 cet6 ky toefl ielts gre
acclaim,"n. 喝彩, 欢呼, 赞同\nv. 欢呼, 喝彩, 称赞",ky toefl ielts gre
accommodate,"vt. 使适应, 调和, 通融, 容纳, 向...提供\nvi. 适应",cet4 cet6 ky toefl ielts gre
accomplishment,"n. 成就, 完成",cet6 toefl
accord,"n. 一致, 调和, 协定\nvt. 给与, 使一致\nvi. 相符合",cet4 cet6 ky toefl ielts gre
accordingly,"adv. 相应地, 因此, 于是",cet4 cet6 ky
account,"n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目\nvi. 报帐, 解释, 导致, 报偿, 占, 杀死\nvt. 认为\n[计] 帐户, 帐号",gk cet4 ky toefl ielts
accountant,"n. 会计人员, 会计师\n[经] 会计师, 会计人员",gk ky toefl ielts
accumulate,"v. 积聚, 堆积",gk cet4 cet6 ky toefl ielts gre
accuracy,"n. 精确, 正确\n[计] 准确度",gk cet4 cet6 ky toefl ielts gre
accurately,"adv. 正确地, 精确地",
accustom,vt. 使习惯于,cet4 cet6 ky toefl
